Tags frequency output for: relativity.txt
Stop words file: stopwords.txt
Generated: Sat Nov 08 17:13:12 EST 2025
--------------------------------------------------
relativity           : 199
theory               : 186
k                    : 169
x                    : 168
body                 : 156
reference            : 150
time                 : 138
co                   : 128
space                : 128
general              : 123
motion               : 110
light                : 106
law                  : 102
gutenberg            : 97
velocity             : 97
gravitational        : 89
relative             : 89
project              : 88
field                : 80
e                    : 76
respect              : 72
point                : 71
principle            : 71
t                    : 66
ordinates            : 65
section              : 65
according            : 64
distance             : 64
points               : 64
special              : 64
image                : 62
laws                 : 62
ordinate             : 60
continuum            : 55
dimensional          : 53
transformation       : 53
embankment           : 52
euclidean            : 51
bodies               : 50
carriage             : 50
following            : 50
means                : 50
v                    : 50
place                : 49
surface              : 49
work                 : 49
b                    : 48
c                    : 48
result               : 48
rods                 : 48
lorentz              : 47
universe             : 47
galileian            : 46
position             : 45
s                    : 43
manner               : 41
case                 : 40
mechanics            : 40
sun                  : 40
rigid                : 39
does                 : 38
rest                 : 38
y                    : 38
moving               : 37
nature               : 37
physical             : 37
shall                : 37
consideration        : 36
line                 : 36
mass                 : 36
measuring            : 36
stars                : 36
clocks               : 35
equations            : 35
small                : 35
use                  : 35
events               : 34
disc                 : 33
rod                  : 33
z                    : 33
question             : 32
way                  : 32
works                : 32
geometry             : 31
experience           : 30
g                    : 30
hold                 : 30
imagine              : 30
considerations       : 29
direction            : 29
form                 : 29
classical            : 28
let                  : 28
natural              : 28
particular           : 28
possible             : 28
present              : 28
sense                : 28
terms                : 28
world                : 28
course               : 27
earth                : 27
electronic           : 27
event                : 27
fact                 : 27
foundation           : 27
given                : 27
lines                : 27
railway              : 27
equation             : 26
fundamental          : 26
number               : 26
obtain               : 26
state                : 26
straight             : 26
train                : 26
follows              : 25
length               : 25
matter               : 25
propagation          : 25
second               : 25
u                    : 25
w                    : 25
agreement            : 24
chest                : 24
considered           : 24
different            : 24
newton               : 24
behaviour            : 23
clock                : 23
energy               : 23
obtained             : 23
plane                : 23
definition           : 22
description          : 22
kind                 : 22
non                  : 22
observer             : 22
order                : 22
results              : 22
states               : 22
copyright            : 21
exactly              : 21
fixed                : 21
itself               : 21
r                    : 21
regard               : 21
simple               : 21
spherical            : 21
able                 : 20
equal                : 20
fields               : 20
m                    : 20
man                  : 20
reality              : 20
systems              : 20
uniform              : 20
uniformly            : 20
value                : 20
basis                : 19
centre               : 19
constant             : 19
gravitation          : 19
judged               : 19
known                : 19
make                 : 19
material             : 19
planet               : 19
quite                : 19
statement            : 19
theoretical          : 19
values               : 19
view                 : 19
axis                 : 18
compared             : 18
condition            : 18
experiment           : 18
f                    : 18
license              : 18
little               : 18
physics              : 18
process              : 18
radius               : 18
square               : 18
accordance           : 17
archive              : 17
consequence          : 17
dx                   : 17
force                : 17
geometrical          : 17
independent          : 17
ray                  : 17
reason               : 17
required             : 17
existence            : 16
observation          : 16
phenomena            : 16
transmission         : 16
united               : 16
connection           : 15
corresponding        : 15
difficulty           : 15
domain               : 15
donations            : 15
expression           : 15
hand                 : 15
hypothesis           : 15
inertial             : 15
just                 : 15
large                : 15
ought                : 15
problem              : 15
propositions         : 15
reader               : 15
set                  : 15
slab                 : 15
used                 : 15
vacuo                : 15
answer               : 14
circle               : 14
curves               : 14
effect               : 14
empirical            : 14
exact                : 14
finite               : 14
gauss                : 14
important            : 14
long                 : 14
marble               : 14
meaning              : 14
method               : 14
numbers              : 14
regarded             : 14
relatively           : 14
situated             : 14
takes                : 14
trademark            : 14
validity             : 14
beings               : 13
chosen               : 13
consider             : 13
ct                   : 13
definite             : 13
derived              : 13
ebook                : 13
exists               : 13
far                  : 13
forth                : 13
great                : 13
ideas                : 13
individual           : 13
influence            : 13
lightning            : 13
literary             : 13
new                  : 13
rays                 : 13
say                  : 13
seen                 : 13
sphere               : 13
suppose              : 13
table                : 13
things               : 13
velocities           : 13
accelerated          : 12
access               : 12
addition             : 12
appear               : 12
associated           : 12
called               : 12
certain              : 12
construction         : 12
copy                 : 12
development          : 12
end                  : 12
farther              : 12
free                 : 12
gaussian             : 12
ii                   : 12
infinite             : 12
measured             : 12
mentioned            : 12
minkowski            : 12
p                    : 12
positions            : 12
require              : 12
rope                 : 12
simultaneity         : 12
simultaneous         : 12
structure            : 12
ther                 : 12
acceleration         : 11
based                : 11
cartesian            : 11
choose               : 11
clear                : 11
conception           : 11
coordinates          : 11
corresponds          : 11
density              : 11
determine            : 11
determined           : 11
discussion           : 11
formulation          : 11
galilei              : 11
hypotheses           : 11
idea                 : 11
identical            : 11
instance             : 11
later                : 11
led                  : 11
longer               : 11
magnitude            : 11
magnitudes           : 11
mean                 : 11
measurements         : 11
necessarily          : 11
org                  : 11
paragraph            : 11
postulate            : 11
previous             : 11
provided             : 11
real                 : 11
relation             : 11
right                : 11
satisfied            : 11
satisfy              : 11
spectral             : 11
thought              : 11
travelling           : 11
true                 : 11
vi                   : 11
agree                : 10
appendix             : 10
attached             : 10
come                 : 10
comparison           : 10
difference           : 10
directly             : 10
displacement         : 10
ds                   : 10
emitted              : 10
example              : 10
importance           : 10
indicated            : 10
interpretation       : 10
know                 : 10
maxwell              : 10
original             : 10
proceed              : 10
refund               : 10
rotating             : 10
seconds              : 10
solution             : 10
times                : 10
www                  : 10
action               : 9
arbitrary            : 9
ask                  : 9
assume               : 9
book                 : 9
cause                : 9
clearly              : 9
conclusion           : 9
data                 : 9
defined              : 9
difficulties         : 9
distribution         : 9
eclipse              : 9
einstein             : 9
electrodynamics      : 9
ellipse              : 9
equivalent           : 9
express              : 9
extent               : 9
including            : 9
information          : 9
making               : 9
masses               : 9
mercury              : 9
observed             : 9
origin               : 9
places               : 9
plays                : 9
practically          : 9
produced             : 9
refer                : 9
referred             : 9
represented          : 9
similar              : 9
simply               : 9
specification        : 9
stone                : 9
theorem              : 9
truth                : 9
valid                : 9
actual               : 8
apparent             : 8
appears              : 8
assumption           : 8
average              : 8
calculation          : 8
capable              : 8
conservation         : 8
correspond           : 8
curvature            : 8
deductions           : 8
described            : 8
